n,pts_time,fps,frame_idx
92,342.0,25.0,8550
93,345.8,25.0,8645
94,352.8,25.0,8820
95,356.4,25.0,8910
96,357.92,25.0,8948
97,363.12,25.0,9078
98,364.72,25.0,9118
99,368.32,25.0,9208
100,373.88,25.0,9347
101,379.96,25.0,9499
102,384.32,25.0,9608
103,389.08,25.0,9727
104,393.16,25.0,9829
105,395.88,25.0,9897
106,398.96,25.0,9974
107,402.88,25.0,10072
108,406.12,25.0,10153
109,406.8,25.0,10170
110,410.48,25.0,10262
111,411.6,25.0,10290
112,418.6,25.0,10465
113,424.24,25.0,10606
114,427.96,25.0,10699
115,433.2,25.0,10830
116,435.44,25.0,10886
117,438.56,25.0,10964
118,443.2,25.0,11080
119,446.2,25.0,11155
120,450.48,25.0,11262
121,454.8,25.0,11370
122,460.52,25.0,11513
123,462.72,25.0,11568
124,466.8,25.0,11670
125,471.8,25.0,11795
126,473.48,25.0,11837
127,480.48,25.0,12012
128,485.36,25.0,12134
129,492.36,25.0,12309
130,497.08,25.0,12427
131,498.0,25.0,12450
132,504.24,25.0,12606
133,507.6,25.0,12690
134,511.12,25.0,12778
135,513.8,25.0,12844
136,518.68,25.0,12966
137,519.6,25.0,12990
138,523.32,25.0,13083
139,529.4,25.0,13235
140,535.2,25.0,13380
141,538.8,25.0,13469
142,543.6,25.0,13590
143,548.4,25.0,13710
144,551.6,25.0,13790
145,558.0,25.0,13950
146,562.48,25.0,14062
147,565.52,25.0,14138
148,571.2,25.0,14280
149,577.2,25.0,14430
150,580.8,25.0,14519
151,586.72,25.0,14668
152,590.12,25.0,14753
153,596.16,25.0,14904
154,601.68,25.0,15041
155,608.68,25.0,15216
156,613.2,25.0,15330
157,617.28,25.0,15432
158,623.68,25.0,15591
159,628.8,25.0,15719
160,634.8,25.0,15869
161,640.4,25.0,16010
162,644.4,25.0,16110
163,648.0,25.0,16200
164,655.0,25.0,16375
165,658.8,25.0,16470
166,664.16,25.0,16604
167,669.6,25.0,16740
168,675.0,25.0,16875
169,678.0,25.0,16950
170,682.44,25.0,17061
171,682.8,25.0,17070
172,686.12,25.0,17153
173,693.12,25.0,17328
174,700.08,25.0,17502
175,705.08,25.0,17627
176,711.6,25.0,17790
177,716.32,25.0,17908
178,723.32,25.0,18083
179,727.2,25.0,18180
180,730.8,25.0,18270
181,735.84,25.0,18396
182,740.44,25.0,18511
183,741.6,25.0,18540
184,745.24,25.0,18631
185,749.16,25.0,18729
186,751.2,25.0,18780
187,756.12,25.0,18903
188,757.6,25.0,18940
189,760.88,25.0,19022
190,764.4,25.0,19110
191,770.92,25.0,19273
192,775.28,25.0,19382
193,776.4,25.0,19410
194,780.0,25.0,19500
195,783.6,25.0,19590
196,790.6,25.0,19765
197,797.6,25.0,19940
198,804.0,25.0,20100
199,810.2,25.0,20255
200,817.2,25.0,20430
201,820.8,25.0,20520
202,826.8,25.0,20670
203,830.4,25.0,20760
204,836.4,25.0,20910
205,842.4,25.0,21060
206,847.88,25.0,21197
207,854.88,25.0,21372
208,861.6,25.0,21540
209,865.56,25.0,21639
210,870.16,25.0,21754
211,876.36,25.0,21909
212,879.68,25.0,21992
213,882.28,25.0,22057
214,885.92,25.0,22148
215,888.64,25.0,22216
216,894.16,25.0,22354
217,896.72,25.0,22418
218,899.96,25.0,22499
219,905.0,25.0,22625
220,912.0,25.0,22800
221,916.8,25.0,22920
222,920.08,25.0,23002
223,924.0,25.0,23100
224,930.0,25.0,23250
225,936.0,25.0,23400
226,942.48,25.0,23562
227,947.68,25.0,23692
228,952.92,25.0,23823
229,958.6,25.0,23965
230,965.6,25.0,24140
231,969.84,25.0,24246
232,973.2,25.0,24330
233,979.04,25.0,24476
234,985.2,25.0,24630
235,991.2,25.0,24780
236,995.88,25.0,24897
237,1002.88,25.0,25072
238,1009.6,25.0,25240
239,1016.6,25.0,25415
240,1023.6,25.0,25590
241,1029.6,25.0,25739
242,1035.12,25.0,25877
243,1039.92,25.0,25998
244,1045.24,25.0,26131
245,1049.0,25.0,26225
246,1056.0,25.0,26400
247,1059.6,25.0,26489
248,1063.52,25.0,26588
249,1066.08,25.0,26652
250,1068.76,25.0,26719
251,1073.56,25.0,26839
252,1078.56,25.0,26964
253,1083.6,25.0,27089
254,1087.2,25.0,27180
255,1091.84,25.0,27295
256,1093.52,25.0,27338
257,1097.08,25.0,27427
258,1100.32,25.0,27508
259,1107.0,25.0,27675
260,1110.0,25.0,27750
261,1116.0,25.0,27900
262,1120.24,25.0,28006
263,1122.0,25.0,28050
264,1128.84,25.0,28220
265,1135.2,25.0,28380
266,1140.6,25.0,28514
267,1143.6,25.0,28589
268,1149.6,25.0,28739
269,1154.4,25.0,28860
270,1161.4,25.0,29035
271,1164.6,25.0,29114
272,1167.6,25.0,29189
273,1173.6,25.0,29339
274,1180.6,25.0,29514
275,1185.6,25.0,29639
276,1189.2,25.0,29730
277,1194.36,25.0,29858
278,1195.2,25.0,29880
279,1198.48,25.0,29962
280,1198.8,25.0,29970
281,1202.4,25.0,30060
282,1208.4,25.0,30210
283,1214.4,25.0,30360
284,1220.4,25.0,30510
285,1224.0,25.0,30600
286,1228.6,25.0,30714
287,1230.8,25.0,30770
288,1233.36,25.0,30833
289,1235.72,25.0,30893
290,1237.72,25.0,30943
291,1239.72,25.0,30993
292,1241.8,25.0,31045
293,1244.4,25.0,31110
294,1248.88,25.0,31222
295,1249.2,25.0,31230
296,1256.2,25.0,31405
297,1261.2,25.0,31530
1,0.0,25.0,0
2,3.6,25.0,90
3,10.6,25.0,265
4,14.96,25.0,374
5,17.36,25.0,434
6,18.0,25.0,450
7,21.6,25.0,540
8,22.44,25.0,561
9,26.16,25.0,654
10,27.4,25.0,685
11,34.0,25.0,850
12,37.2,25.0,930
13,44.2,25.0,1105
14,50.72,25.0,1268
15,55.2,25.0,1380
16,58.8,25.0,1470
17,62.12,25.0,1553
18,63.92,25.0,1598
19,65.68,25.0,1642
20,68.76,25.0,1719
21,72.0,25.0,1800
22,75.68,25.0,1892
23,78.0,25.0,1950
24,81.6,25.0,2039
25,87.6,25.0,2190
26,91.2,25.0,2280
27,96.44,25.0,2411
28,97.2,25.0,2430
29,100.28,25.0,2507
30,103.2,25.0,2580
31,106.8,25.0,2670
32,109.84,25.0,2746
33,110.92,25.0,2773
34,117.6,25.0,2940
35,123.44,25.0,3086
36,128.4,25.0,3210
37,133.04,25.0,3326
38,136.84,25.0,3421
39,142.24,25.0,3556
40,143.6,25.0,3590
41,148.08,25.0,3702
42,150.36,25.0,3759
43,152.72,25.0,3818
44,155.48,25.0,3886
45,161.4,25.0,4035
46,162.0,25.0,4050
47,165.68,25.0,4142
48,168.28,25.0,4207
49,170.32,25.0,4258
50,172.32,25.0,4308
51,175.2,25.0,4380
52,177.0,25.0,4425
53,178.44,25.0,4461
54,181.92,25.0,4548
55,188.92,25.0,4723
56,194.4,25.0,4860
57,197.8,25.0,4945
58,202.8,25.0,5070
59,208.6,25.0,5215
60,213.76,25.0,5344
61,215.08,25.0,5377
62,221.08,25.0,5527
63,224.16,25.0,5604
64,227.12,25.0,5678
65,230.52,25.0,5763
66,234.0,25.0,5850
67,238.8,25.0,5970
68,243.68,25.0,6092
69,250.2,25.0,6255
70,253.2,25.0,6330
71,256.8,25.0,6420
72,258.84,25.0,6470
73,262.76,25.0,6569
74,269.4,25.0,6734
75,272.4,25.0,6809
76,278.68,25.0,6967
77,285.6,25.0,7140
78,289.0,25.0,7225
79,292.64,25.0,7316
80,299.0,25.0,7475
81,301.92,25.0,7548
82,303.16,25.0,7579
83,306.16,25.0,7654
84,311.32,25.0,7783
85,314.4,25.0,7859
86,318.36,25.0,7959
87,321.24,25.0,8031
88,323.64,25.0,8091
89,325.24,25.0,8131
90,328.68,25.0,8217
91,331.12,25.0,8278
92,334.32,25.0,8358
93,338.44,25.0,8461
94,345.44,25.0,8636
95,352.08,25.0,8802
96,357.6,25.0,8940
97,363.6,25.0,9090
98,366.2,25.0,9155
99,369.44,25.0,9236
100,375.6,25.0,9390
101,382.28,25.0,9557
102,389.28,25.0,9732
103,394.96,25.0,9874
104,398.8,25.0,9970
105,405.0,25.0,10125
106,406.4,25.0,10160
107,408.0,25.0,10200
108,413.6,25.0,10340
109,414.0,25.0,10350
110,419.36,25.0,10484
111,423.76,25.0,10594
112,426.0,25.0,10650
113,433.0,25.0,10825
114,436.8,25.0,10920
115,440.6,25.0,11015
116,446.4,25.0,11160
117,451.72,25.0,11293
118,452.4,25.0,11310
119,458.4,25.0,11460
120,464.4,25.0,11610
121,469.2,25.0,11730
122,474.0,25.0,11850
123,478.8,25.0,11970
124,482.4,25.0,12060
125,488.4,25.0,12210
126,492.0,25.0,12300
127,495.72,25.0,12393
128,502.72,25.0,12568
129,507.6,25.0,12690
130,511.08,25.0,12777
131,516.0,25.0,12900
132,520.44,25.0,13011
133,520.8,25.0,13019
134,526.8,25.0,13169
135,531.08,25.0,13277
136,532.8,25.0,13319
137,538.8,25.0,13469
138,544.8,25.0,13619
139,548.4,25.0,13710
140,554.4,25.0,13860
141,558.0,25.0,13950
142,561.6,25.0,14040
143,567.6,25.0,14190
144,573.08,25.0,14327
145,576.2,25.0,14405
146,579.24,25.0,14481
147,582.36,25.0,14559
148,588.0,25.0,14700
149,594.0,25.0,14850
150,600.0,25.0,15000
151,606.0,25.0,15150
152,609.6,25.0,15240
153,615.6,25.0,15390
154,620.72,25.0,15518
155,625.2,25.0,15630
156,630.6,25.0,15765
157,636.0,25.0,15900
158,643.0,25.0,16075
159,646.8,25.0,16169
160,651.76,25.0,16294
161,655.2,25.0,16380
162,661.72,25.0,16543
163,664.64,25.0,16616
164,667.2,25.0,16680
165,672.2,25.0,16805
166,676.96,25.0,16924
167,679.68,25.0,16992
168,682.64,25.0,17066
169,682.8,25.0,17070
170,685.6,25.0,17140
171,688.8,25.0,17220
172,690.6,25.0,17265
173,692.72,25.0,17318
174,695.08,25.0,17377
175,700.24,25.0,17506
176,707.24,25.0,17681
177,712.8,25.0,17820
178,718.8,25.0,17970
179,721.8,25.0,18045
180,727.2,25.0,18180
181,731.16,25.0,18279
182,732.0,25.0,18300
183,738.0,25.0,18450
184,741.6,25.0,18540
185,745.92,25.0,18648
186,751.64,25.0,18791
187,755.92,25.0,18898
188,760.88,25.0,19022
189,767.84,25.0,19196
190,774.84,25.0,19371
191,776.08,25.0,19402
192,778.8,25.0,19470
193,781.84,25.0,19546
194,783.28,25.0,19582
195,789.04,25.0,19726
196,789.6,25.0,19740
197,793.2,25.0,19830
198,793.64,25.0,19841
199,798.0,25.0,19950
200,802.4,25.0,20060
201,805.4,25.0,20135
202,808.8,25.0,20220
203,815.04,25.0,20376
204,822.0,25.0,20550
205,828.0,25.0,20700
206,834.92,25.0,20873
207,838.4,25.0,20960
208,841.92,25.0,21048
209,847.2,25.0,21180
210,851.36,25.0,21284
211,855.6,25.0,21390
212,860.4,25.0,21510
213,866.4,25.0,21660
214,869.76,25.0,21744
215,872.4,25.0,21810
216,879.28,25.0,21982
217,886.28,25.0,22157
218,890.4,25.0,22260
219,893.4,25.0,22335
220,897.6,25.0,22440
221,903.56,25.0,22589
222,907.56,25.0,22689
223,911.56,25.0,22789
224,913.96,25.0,22849
225,918.0,25.0,22950
226,919.56,25.0,22989
227,922.64,25.0,23066
228,926.0,25.0,23150
229,928.8,25.0,23220
230,935.44,25.0,23386
231,938.44,25.0,23461
232,939.6,25.0,23490
233,946.6,25.0,23665
234,952.84,25.0,23821
235,958.52,25.0,23963
236,962.84,25.0,24071
237,965.84,25.0,24146
238,969.44,25.0,24236
239,970.96,25.0,24274
240,973.2,25.0,24330
241,975.04,25.0,24376
242,976.8,25.0,24420
243,981.24,25.0,24531
244,986.4,25.0,24660
245,992.4,25.0,24810
246,999.4,25.0,24985
247,1003.2,25.0,25080
248,1008.12,25.0,25203
249,1014.0,25.0,25350
250,1020.48,25.0,25512
251,1027.48,25.0,25687
252,1032.72,25.0,25818
253,1035.4,25.0,25885
254,1037.96,25.0,25949
255,1040.32,25.0,26008
256,1044.0,25.0,26100
257,1051.0,25.0,26275
258,1054.8,25.0,26370
259,1059.28,25.0,26482
260,1063.2,25.0,26580
261,1067.56,25.0,26689
262,1072.8,25.0,26820
263,1077.96,25.0,26949
264,1081.36,25.0,27033
265,1087.2,25.0,27180
266,1091.4,25.0,27285
267,1096.56,25.0,27414
268,1101.04,25.0,27526
269,1105.56,25.0,27639
270,1106.48,25.0,27662
271,1113.48,25.0,27837
272,1117.36,25.0,27933
273,1122.0,25.0,28050
274,1125.6,25.0,28139
275,1131.56,25.0,28289
276,1138.56,25.0,28464
277,1144.8,25.0,28620
278,1151.68,25.0,28792
279,1156.84,25.0,28920
280,1162.6,25.0,29064
281,1164.36,25.0,29108
282,1167.6,25.0,29189
283,1173.6,25.0,29339
284,1178.4,25.0,29460
285,1182.0,25.0,29550
286,1183.2,25.0,29580
287,1186.52,25.0,29663
288,1190.76,25.0,29769
289,1191.6,25.0,29789
290,1195.2,25.0,29880
291,1200.44,25.0,30011
292,1205.96,25.0,30149
293,1207.2,25.0,30180
294,1212.0,25.0,30300
295,1216.08,25.0,30402
296,1218.0,25.0,30450
297,1224.0,25.0,30600
298,1225.04,25.0,30626
299,1230.0,25.0,30750
300,1236.0,25.0,30900
1,0.0,30.0,0
2,3.0,30.0,90
3,9.8,30.0,294
4,12.8,30.0,384
5,15.2667,30.0,458
6,17.2667,30.0,518
7,20.3333,30.0,609
8,23.3333,30.0,699
9,25.3,30.0,759
10,29.0,30.0,870
11,30.3,30.0,909
12,33.3,30.0,998
13,35.8,30.0,1074
14,37.7,30.0,1131
15,38.4,30.0,1152
16,44.6,30.0,1338
17,48.4,30.0,1452
18,51.9667,30.0,1559
19,57.5667,30.0,1727
20,60.7333,30.0,1821
21,64.2,30.0,1926
22,70.4667,30.0,2114
23,75.1,30.0,2253
24,76.7667,30.0,2303
25,80.5,30.0,2415
26,86.4667,30.0,2594
27,87.4,30.0,2622
28,90.3333,30.0,2709
29,92.0,30.0,2760
30,96.1333,30.0,2883
31,99.1333,30.0,2973
32,103.867,30.0,3116
33,104.867,30.0,3146
34,106.867,30.0,3206
35,108.0,30.0,3240
36,112.133,30.0,3363
37,119.133,30.0,3573
38,125.133,30.0,3753
39,131.467,30.0,3944
40,135.4,30.0,4062
41,140.133,30.0,4203
42,142.8,30.0,4284
43,144.767,30.0,4343
44,150.067,30.0,4502
45,153.9,30.0,4617
46,157.4,30.0,4722
47,160.067,30.0,4802
48,163.1,30.0,4893
49,165.733,30.0,4971
50,170.5,30.0,5115
51,173.5,30.0,5205
52,177.867,30.0,5336
53,181.0,30.0,5430
54,184.167,30.0,5525
55,187.867,30.0,5636
56,194.867,30.0,5846
57,200.867,30.0,6026
58,206.867,30.0,6206
59,212.867,30.0,6386
60,214.7,30.0,6441
61,219.7,30.0,6591
62,224.567,30.0,6737
63,226.5,30.0,6795
64,227.667,30.0,6830
65,231.267,30.0,6938
66,234.4,30.0,7032
67,237.533,30.0,7125
68,240.167,30.0,7205
69,242.9,30.0,7287
70,247.9,30.0,7437
71,251.533,30.0,7545
72,257.567,30.0,7727
73,261.167,30.0,7835
74,264.9,30.0,7946
75,267.933,30.0,8037
76,269.333,30.0,8079
77,271.8,30.0,8154
78,275.667,30.0,8270
79,279.467,30.0,8384
80,282.667,30.0,8480
81,289.467,30.0,8684
82,294.467,30.0,8834
83,300.167,30.0,9005
84,305.467,30.0,9164
85,307.733,30.0,9231
86,309.5,30.0,9285
87,311.5,30.0,9345
88,317.967,30.0,9539
89,324.0,30.0,9720
90,325.733,30.0,9771
91,327.367,30.0,9821
92,331.8,30.0,9954
93,333.533,30.0,10005
94,336.733,30.0,10101
95,339.167,30.0,10175
96,343.367,30.0,10301
97,345.867,30.0,10376
98,348.333,30.0,10449
99,352.467,30.0,10574
100,355.933,30.0,10677
101,356.933,30.0,10707
102,360.067,30.0,10802
103,361.8,30.0,10854
104,368.8,30.0,11064
105,371.8,30.0,11154
106,376.2,30.0,11286
107,382.667,30.0,11480
108,388.6,30.0,11658
109,393.733,30.0,11811
110,397.167,30.0,11915
111,399.367,30.0,11981
112,404.167,30.0,12125
113,406.2,30.0,12186
114,406.533,30.0,12195
115,409.4,30.0,12282
116,412.3,30.0,12369
117,413.733,30.0,12411
118,418.6,30.0,12558
119,422.2,30.0,12666
120,424.2,30.0,12726
121,431.2,30.0,12936
122,438.2,30.0,13146
123,444.5,30.0,13335
124,449.2,30.0,13476
125,453.867,30.0,13616
126,456.1,30.0,13683
127,461.767,30.0,13853
128,464.767,30.0,13943
129,467.567,30.0,14027
130,470.567,30.0,14117
131,474.067,30.0,14222
132,479.767,30.0,14393
133,480.767,30.0,14423
134,485.2,30.0,14556
135,491.6,30.0,14748
136,497.2,30.0,14916
137,502.133,30.0,15063
138,502.6,30.0,15078
139,507.133,30.0,15213
140,510.5,30.0,15315
141,512.7,30.0,15381
142,519.333,30.0,15579
143,524.767,30.0,15743
144,528.133,30.0,15843
145,530.3,30.0,15908
146,533.3,30.0,15998
147,537.933,30.0,16137
148,538.933,30.0,16167
149,540.267,30.0,16208
150,543.133,30.0,16293
151,546.867,30.0,16406
152,553.867,30.0,16616
153,558.067,30.0,16742
154,562.1,30.0,16863
155,565.9,30.0,16977
156,567.767,30.0,17033
157,574.167,30.0,17225
158,578.933,30.0,17367
159,581.933,30.0,17457
160,587.467,30.0,17624
161,588.567,30.0,17657
162,593.567,30.0,17807
163,597.667,30.0,17930
164,599.7,30.0,17991
165,603.3,30.0,18099
166,605.5,30.0,18165
167,608.767,30.0,18263
168,615.767,30.0,18473
169,621.767,30.0,18653
170,626.5,30.0,18795
171,631.167,30.0,18935
172,634.767,30.0,19043
173,636.767,30.0,19103
174,643.767,30.0,19313
175,649.0,30.0,19470
176,654.0,30.0,19620
177,658.767,30.0,19763
178,660.867,30.0,19826
179,666.333,30.0,19989
180,673.067,30.0,20192
181,676.067,30.0,20282
182,682.333,30.0,20469
183,686.1,30.0,20583
184,688.3,30.0,20649
185,689.733,30.0,20691
186,695.733,30.0,20871
187,701.8,30.0,21054
188,704.533,30.0,21135
189,708.2,30.0,21246
190,711.333,30.0,21339
191,715.367,30.0,21461
192,718.3,30.0,21549
193,721.167,30.0,21635
194,722.167,30.0,21665
195,724.8,30.0,21744
196,727.167,30.0,21815
197,729.267,30.0,21878
198,732.933,30.0,21987
199,734.967,30.0,22049
200,736.933,30.0,22107
201,743.933,30.0,22317
202,749.933,30.0,22497
203,756.933,30.0,22707
204,760.767,30.0,22823
205,762.5,30.0,22875
206,769.5,30.0,23085
207,773.8,30.0,23214
208,776.467,30.0,23294
209,781.667,30.0,23450
210,786.933,30.0,23607
211,792.133,30.0,23763
212,796.533,30.0,23895
213,798.567,30.0,23957
214,805.567,30.0,24167
215,809.133,30.0,24273
216,816.133,30.0,24483
217,822.333,30.0,24669
218,828.167,30.0,24845
219,834.3,30.0,25029
220,837.367,30.0,25121
221,843.1,30.0,25293
222,850.1,30.0,25503
223,857.1,30.0,25713
224,863.333,30.0,25899
225,866.9,30.0,26007
226,872.533,30.0,26175
227,875.533,30.0,26265
228,882.067,30.0,26462
229,888.167,30.0,26645
230,895.167,30.0,26855
231,902.167,30.0,27065
232,908.167,30.0,27245
233,913.367,30.0,27401
234,920.367,30.0,27611
235,926.167,30.0,27785
236,931.167,30.0,27935
237,936.267,30.0,28088
238,943.267,30.0,28298
239,949.1,30.0,28473
240,955.533,30.0,28665
241,960.7,30.0,28821
242,965.6,30.0,28968
243,972.067,30.0,29162
244,977.0,30.0,29310
245,980.0,30.0,29400
246,983.0,30.0,29490
247,989.0,30.0,29670
248,993.0,30.0,29790
249,996.867,30.0,29906
250,999.6,30.0,29988
251,1005.3,30.0,30159
252,1006.93,30.0,30207
253,1009.97,30.0,30299
254,1010.2,30.0,30306
255,1013.0,30.0,30390
256,1015.57,30.0,30467
257,1016.9,30.0,30507
258,1023.9,30.0,30717
259,1026.9,30.0,30807
1,0.0,30.0,0
2,3.26667,30.0,98
3,8.7,30.0,261
4,11.4,30.0,342
5,11.7333,30.0,351
6,13.5,30.0,405
7,15.9667,30.0,479
8,18.5667,30.0,557
9,19.5667,30.0,587
10,23.5333,30.0,705
11,26.5333,30.0,795
12,28.8,30.0,864
13,30.8,30.0,924
14,37.8,30.0,1134
15,44.7667,30.0,1343
16,49.8,30.0,1494
17,55.4,30.0,1662
18,60.0,30.0,1800
19,62.1333,30.0,1863
20,65.2667,30.0,1958
21,66.8667,30.0,2006
22,67.9333,30.0,2037
23,74.5667,30.0,2237
24,78.0667,30.0,2342
25,82.5333,30.0,2475
26,87.5667,30.0,2627
27,94.3,30.0,2829
28,97.3,30.0,2919
29,100.667,30.0,3020
30,103.933,30.0,3117
31,109.167,30.0,3275
32,110.733,30.0,3321
33,117.733,30.0,3531
34,124.733,30.0,3741
35,131.533,30.0,3945
36,134.533,30.0,4035
37,140.9,30.0,4227
38,144.0,30.0,4320
39,146.3,30.0,4389
40,149.2,30.0,4476
41,152.7,30.0,4581
42,158.867,30.0,4766
43,162.4,30.0,4872
44,167.267,30.0,5018
45,170.367,30.0,5111
46,172.733,30.0,5181
47,177.167,30.0,5315
48,178.1,30.0,5343
49,181.667,30.0,5450
50,184.567,30.0,5537
51,190.567,30.0,5717
52,197.567,30.0,5927
53,202.067,30.0,6062
54,207.0,30.0,6210
55,212.0,30.0,6360
56,214.667,30.0,6440
57,217.7,30.0,6531
58,220.667,30.0,6620
59,222.267,30.0,6668
60,225.4,30.0,6762
61,226.4,30.0,6792
62,230.667,30.0,6920
63,237.667,30.0,7130
64,244.667,30.0,7340
65,248.667,30.0,7460
66,252.733,30.0,7581
67,256.733,30.0,7701
68,261.5,30.0,7845
69,268.5,30.0,8055
70,272.167,30.0,8165
71,275.167,30.0,8255
72,281.1,30.0,8433
73,283.267,30.0,8498
74,286.6,30.0,8598
75,292.167,30.0,8765
76,295.0,30.0,8850
77,298.567,30.0,8957
78,304.167,30.0,9125
79,308.267,30.0,9248
80,310.3,30.0,9309
81,317.3,30.0,9519
82,322.133,30.0,9663
83,324.133,30.0,9723
84,328.133,30.0,9843
85,335.133,30.0,10053
86,340.0,30.0,10200
87,344.133,30.0,10323
88,350.133,30.0,10503
89,356.133,30.0,10683
90,357.133,30.0,10713
91,363.133,30.0,10893
92,366.133,30.0,10983
93,369.533,30.0,11085
94,371.133,30.0,11133
95,376.8,30.0,11304
96,377.133,30.0,11313
97,381.467,30.0,11444
98,382.9,30.0,11487
99,384.333,30.0,11529
100,388.667,30.0,11660
101,392.8,30.0,11784
102,394.8,30.0,11844
103,401.8,30.0,12054
104,406.8,30.0,12204
105,410.1,30.0,12303
106,414.1,30.0,12423
107,417.7,30.0,12531
108,423.333,30.0,12699
109,428.333,30.0,12849
110,434.5,30.0,13035
111,440.367,30.0,13211
112,445.933,30.0,13377
113,451.767,30.0,13553
114,452.767,30.0,13583
115,457.4,30.0,13722
116,458.4,30.0,13752
117,462.1,30.0,13863
118,469.1,30.0,14073
119,473.3,30.0,14199
120,479.3,30.0,14379
121,482.3,30.0,14469
122,485.567,30.0,14567
123,490.933,30.0,14727
124,494.8,30.0,14844
125,497.933,30.0,14937
126,500.6,30.0,15018
127,505.333,30.0,15159
128,510.533,30.0,15315
129,513.533,30.0,15405
130,517.6,30.0,15528
131,521.767,30.0,15653
132,524.767,30.0,15743
133,529.2,30.0,15876
134,536.2,30.0,16086
135,541.367,30.0,16241
136,547.167,30.0,16415
137,549.767,30.0,16493
138,552.567,30.0,16577
139,558.2,30.0,16746
140,562.2,30.0,16866
141,566.0,30.0,16980
142,567.8,30.0,17034
143,572.367,30.0,17171
144,574.9,30.0,17247
145,576.2,30.0,17286
146,581.4,30.0,17442
147,588.4,30.0,17652
148,591.4,30.0,17742
149,596.367,30.0,17891
150,602.8,30.0,18084
151,608.333,30.0,18249
152,611.3,30.0,18339
153,613.533,30.0,18405
154,616.7,30.0,18501
155,620.2,30.0,18606
156,621.667,30.0,18650
157,626.7,30.0,18801
158,630.133,30.0,18903
159,636.667,30.0,19100
160,641.3,30.0,19239
161,642.8,30.0,19284
162,646.3,30.0,19389
163,648.3,30.0,19449
164,651.267,30.0,19538
165,653.3,30.0,19599
166,655.2,30.0,19656
167,655.533,30.0,19665
168,661.533,30.0,19845
169,662.733,30.0,19881
170,667.067,30.0,20012
171,671.2,30.0,20136
172,673.1,30.0,20193
173,680.1,30.0,20403
174,686.1,30.0,20583
175,692.933,30.0,20787
176,695.967,30.0,20879
177,700.767,30.0,21023
178,704.767,30.0,21143
179,710.967,30.0,21329
180,713.4,30.0,21402
181,716.067,30.0,21482
182,719.067,30.0,21572
183,722.1,30.0,21663
184,725.1,30.0,21753
185,730.5,30.0,21915
186,737.5,30.0,22125
187,740.5,30.0,22215
188,743.0,30.0,22290
189,745.5,30.0,22365
190,752.5,30.0,22575
191,756.0,30.0,22680
192,763.0,30.0,22890
193,769.0,30.0,23070
194,775.533,30.0,23265
195,778.533,30.0,23355
196,783.133,30.0,23493
197,788.767,30.0,23663
198,795.333,30.0,23859
199,798.367,30.0,23951
200,801.2,30.0,24036
201,805.9,30.0,24177
202,811.333,30.0,24339
203,811.9,30.0,24357
204,815.467,30.0,24464
205,818.567,30.0,24557
206,821.567,30.0,24647
207,825.3,30.0,24759
208,826.967,30.0,24809
209,831.4,30.0,24942
210,837.733,30.0,25131
